filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,label
zero_110.wav,0.419839507,0.045475937,2489.922868,1565.037734,4078.388672,0.148079427,-273.277119,107.0813259,-85.07978418,117.9689332,-25.57177863,20.63439455,-16.82976478,-9.441003562,-8.354261712,-3.440656932,-0.171509614,-2.947775404,8.138238313,-4.545234557,15.48240845,-3.987250814,9.377831947,2.59373537,4.510584721,-2.492918025,0
zero_100.wav,0.456253713,0.041469704,2471.61295,1590.760921,4105.151367,0.139474051,-281.9553899,107.3750713,-86.72509536,124.8393109,-25.85524995,21.35859391,-15.27438339,-7.506621907,-7.004404524,-5.421853981,1.3022367,-4.681523759,8.902434632,-6.701067933,13.75293469,-1.008984985,9.179446499,2.573203317,3.379130407,-0.600034409,0
zero_090.wav,0.455132231,0.041121725,2517.444499,1617.512481,4186.669922,0.136509487,-271.0534882,105.8945196,-80.36807905,122.2557879,-30.5632531,22.15386177,-17.97015725,-2.445710934,-11.32669077,-4.253932771,3.429333761,-3.275786493,7.582348105,-4.511018234,15.11474372,-1.789932249,9.497464488,-4.133251681,3.169573181,-0.427649105,0
zero_080.wav,0.417892317,0.039618813,2491.260938,1618.732953,4205.43457,0.147591146,-283.2094119,103.9440299,-80.68576878,122.1255718,-27.39273232,26.66453391,-16.67474865,-8.389041274,-9.070979648,-4.860237038,2.303684176,-3.960593294,9.35161252,-3.936308918,14.72865771,-3.653706824,9.570612737,1.242943066,0.475260385,-3.05296378,0
zero_010.wav,0.355394319,0.045961894,2555.007254,1674.363243,4319.940545,0.144157858,-273.6312499,101.2868627,-78.85499942,118.3208998,-26.99163817,23.78149734,-19.64764866,-3.461097765,-5.73475854,-1.994179667,-0.938615802,-1.150476052,9.687154462,-9.524636268,13.22064094,-4.280979288,4.152119393,0.312864072,6.168609861,-3.894579906,0
zero_200.wav,0.419950162,0.03392347,2553.295788,1659.79066,4232.620239,0.141204834,-296.1502105,101.6123767,-73.66533131,116.2871395,-30.90444121,30.71895141,-13.91584972,-0.663092,-8.862700128,0.449686311,5.144720104,-3.963922654,8.006248629,-4.197629657,13.25034357,-5.034986307,14.41283108,0.658390767,2.356007803,0.07954113,0
zero_190.wav,0.445862884,0.038481873,2533.175266,1640.281957,4193.950195,0.143684896,-288.3326248,105.250616,-74.24781192,117.9875171,-31.63474412,28.81309811,-14.28094993,1.530901192,-11.30563374,-8.150157368,4.247302576,-3.906286625,9.651476176,-3.376746356,12.33604525,-4.161662828,12.55363737,-2.257858242,1.454408934,1.243173432,0
zero_180.wav,0.361838746,0.03456214,2453.986953,1709.599295,4260.209656,0.128997803,-290.2573948,103.6187343,-67.87200459,118.3753082,-31.00367803,28.27809453,-13.70256671,-1.790401053,-12.88602425,-5.470561153,1.469979625,-3.182139058,8.708313918,-6.752993407,10.42028926,-4.736131613,11.6853327,-2.97644251,1.911586122,-0.617144548,0
zero_170.wav,0.395272747,0.035817895,2672.332544,1579.720791,4318.842773,0.170703125,-285.757264,104.5230464,-77.88341358,111.7876523,-37.02695345,22.24136894,-14.64600855,-0.228622033,-6.074408048,-3.322665803,-6.706667266,2.562456195,15.63877334,-12.80949919,16.67525407,-8.009072095,7.599044482,7.19087164,-4.081568551,-1.655190225,0
zero_160.wav,0.415644905,0.042941265,2403.053752,1538.982925,4021.325684,0.138462612,-274.0413903,110.0414941,-92.3718089,117.3184198,-28.2388796,23.68508823,-18.45086378,-2.685189261,-9.256922181,-4.303676932,1.030786663,-2.112529461,11.91524243,-5.375890477,12.62891464,-4.959008227,10.04340747,-0.741222145,1.496879526,-3.875760819,0
